Year,Genre,Zone Sales
1980,,0.67
1981,,1.96
1982,,1.65
1983,,0.8
1984,,2.1
1985,,4.74
1986,,2.84
1987,,1.41
1988,,6.59
1989,,8.44
1990,,7.63
1991,,3.95
1992,,11.71
1993,,4.65
1994,,14.88
1995,,14.9
1996,,47.26
1997,,48.32
1998,,66.9
1999,,62.67
2000,,52.75
2001,,94.89
2002,,109.74
2003,,103.81
2004,,107.32
2005,,121.94
2006,,129.24
2007,,160.5
2008,,184.4
2009,,191.59
2010,,176.73
2011,,167.44
2012,,118.78
2013,,125.8
2014,,125.65
2015,,97.71
2016,,26.76
2017,,0
2020,,0
1980,Strategy,
1981,Strategy,
1982,Strategy,
1983,Strategy,
1984,Strategy,
1985,Strategy,
1986,Strategy,
1987,Strategy,
1988,Strategy,
1989,Strategy,
1990,Strategy,
1991,Strategy,0
1992,Strategy,0.05
1993,Strategy,0
1994,Strategy,1.08
1995,Strategy,2.44
1996,Strategy,1.66
1997,Strategy,0.75
1998,Strategy,1.59
1999,Strategy,4.67
2000,Strategy,1.02
2001,Strategy,1.24
2002,Strategy,0.71
2003,Strategy,2.44
2004,Strategy,1.7
2005,Strategy,1.13
2006,Strategy,1.08
2007,Strategy,1.87
2008,Strategy,4.18
2009,Strategy,4.93
2010,Strategy,4.51
2011,Strategy,2.91
2012,Strategy,0.99
2013,Strategy,2.47
2014,Strategy,0.22
2015,Strategy,0.98
2016,Strategy,0.32
2017,Strategy,
2020,Strategy,
1980,Sports,0.03
1981,Sports,0.04
1982,Sports,0.06
1983,Sports,0.1
1984,Sports,0.39
1985,Sports,0.23
1986,Sports,0.47
1987,Sports,0.03
1988,Sports,0.32
1989,Sports,0.9
1990,Sports,0.5
1991,Sports,0.1
1992,Sports,0.25
1993,Sports,0.01
1994,Sports,0.55
1995,Sports,1.28
1996,Sports,3.78
1997,Sports,5.47
1998,Sports,10.21
1999,Sports,7.03
2000,Sports,9.77
2001,Sports,14.14
2002,Sports,19.24
2003,Sports,15.96
2004,Sports,14.86
2005,Sports,14.1
2006,Sports,40.2
2007,Sports,26.54
2008,Sports,26.96
2009,Sports,42.17
2010,Sports,29.05
2011,Sports,19.86
2012,Sports,8.83
2013,Sports,15.16
2014,Sports,18.7
2015,Sports,16.69
2016,Sports,7.360000000
2017,Sports,
2020,Sports,
1980,Simulation,
1981,Simulation,0.02
1982,Simulation,
1983,Simulation,
1984,Simulation,
1985,Simulation,0.03
1986,Simulation,
1987,Simulation,
1988,Simulation,0.02
1989,Simulation,
1990,Simulation,0.17
1991,Simulation,0.27
1992,Simulation,0.84
1993,Simulation,0
1994,Simulation,0.23
1995,Simulation,0.63
1996,Simulation,3.05
1997,Simulation,1.29
1998,Simulation,0.77
1999,Simulation,1.33
2000,Simulation,0.77
2001,Simulation,4.35
2002,Simulation,3.53
2003,Simulation,6.47
2004,Simulation,3.56
2005,Simulation,16.45
2006,Simulation,6.22
2007,Simulation,14.03
2008,Simulation,12.12
2009,Simulation,11.64
2010,Simulation,6.98
2011,Simulation,5.21
2012,Simulation,3.62
2013,Simulation,3.56
2014,Simulation,3.44
2015,Simulation,2.51
2016,Simulation,0.09
2017,Simulation,
2020,Simulation,0
1980,Shooter,0.43
1981,Shooter,0.56
1982,Shooter,0.21
1983,Shooter,0.03
1984,Shooter,0.85
1985,Shooter,0.14
1986,Shooter,0.16
1987,Shooter,0.03
1988,Shooter,0.03
1989,Shooter,0.39
1990,Shooter,
1991,Shooter,0.38
1992,Shooter,0
1993,Shooter,0.51
1994,Shooter,2.57
1995,Shooter,0.48
1996,Shooter,2.14
1997,Shooter,4.5
1998,Shooter,3.36
1999,Shooter,3.73
2000,Shooter,2.17
2001,Shooter,7.5
2002,Shooter,14.98
2003,Shooter,8.54
2004,Shooter,12.75
2005,Shooter,9.210000000
2006,Shooter,8.810000000
2007,Shooter,22.09
2008,Shooter,16.29
2009,Shooter,21.17
2010,Shooter,23.9
2011,Shooter,35.31
2012,Shooter,26.34
2013,Shooter,23.15
2014,Shooter,25.81
2015,Shooter,24.23
2016,Shooter,7.7
2017,Shooter,
2020,Shooter,
1980,Role-Playing,
1981,Role-Playing,
1982,Role-Playing,
1983,Role-Playing,
1984,Role-Playing,
1985,Role-Playing,
1986,Role-Playing,0
1987,Role-Playing,0
1988,Role-Playing,0
1989,Role-Playing,0
1990,Role-Playing,0
1991,Role-Playing,0.09
1992,Role-Playing,0
1993,Role-Playing,0.07
1994,Role-Playing,0
1995,Role-Playing,0.3
1996,Role-Playing,11.04
1997,Role-Playing,3.44
1998,Role-Playing,6.44
1999,Role-Playing,11.17
2000,Role-Playing,4.2
2001,Role-Playing,4.14
2002,Role-Playing,9.39
2003,Role-Playing,5.7
2004,Role-Playing,16.73
2005,Role-Playing,4.96
2006,Role-Playing,8.120000000
2007,Role-Playing,8.37
2008,Role-Playing,11.3
2009,Role-Playing,8.36
2010,Role-Playing,13.7
2011,Role-Playing,14.1
2012,Role-Playing,11.97
2013,Role-Playing,8.94
2014,Role-Playing,11.24
2015,Role-Playing,12.52
2016,Role-Playing,1.29
2017,Role-Playing,0
2020,Role-Playing,
1980,Racing,
1981,Racing,0.03
1982,Racing,0.09
1983,Racing,
1984,Racing,0.49
1985,Racing,
1986,Racing,0.37
1987,Racing,
1988,Racing,0.38
1989,Racing,
1990,Racing,1.2
1991,Racing,0.37
1992,Racing,1.24
1993,Racing,0
1994,Racing,0
1995,Racing,1.56
1996,Racing,5.19
1997,Racing,10.82
1998,Racing,9.62
1999,Racing,11.11
2000,Racing,6.5
2001,Racing,17.89
2002,Racing,8.89
2003,Racing,17.23
2004,Racing,12.47
2005,Racing,15.85
2006,Racing,8.9
2007,Racing,13.17
2008,Racing,24.32
2009,Racing,13.11
2010,Racing,14.52
2011,Racing,13.52
2012,Racing,7.58
2013,Racing,6.32
2014,Racing,7.7
2015,Racing,4.74
2016,Racing,1.14
2017,Racing,
2020,Racing,
1980,Puzzle,
1981,Puzzle,0.13
1982,Puzzle,0.58
1983,Puzzle,0.05
1984,Puzzle,0.18
1985,Puzzle,0.19
1986,Puzzle,
1987,Puzzle,
1988,Puzzle,0.69
1989,Puzzle,3.61
1990,Puzzle,0.8
1991,Puzzle,0.16
1992,Puzzle,0.52
1993,Puzzle,0.13
1994,Puzzle,0
1995,Puzzle,0.13
1996,Puzzle,0.29
1997,Puzzle,0.53
1998,Puzzle,1.59
1999,Puzzle,0.45
2000,Puzzle,0.93
2001,Puzzle,1.84
2002,Puzzle,1.41
2003,Puzzle,0.28
2004,Puzzle,1.48
2005,Puzzle,6.07
2006,Puzzle,2.14
2007,Puzzle,8.8
2008,Puzzle,5.13
2009,Puzzle,5.64
2010,Puzzle,3.2
2011,Puzzle,2.19
2012,Puzzle,0.42
2013,Puzzle,0.48
2014,Puzzle,0.38
2015,Puzzle,0.11
2016,Puzzle,
2017,Puzzle,
2020,Puzzle,
1980,Platform,
1981,Platform,0.37
1982,Platform,0.28
1983,Platform,0.43
1984,Platform,0
1985,Platform,3.77
1986,Platform,0.18
1987,Platform,0.14
1988,Platform,4.99
1989,Platform,3.08
1990,Platform,3.99
1991,Platform,1.19
1992,Platform,2.05
1993,Platform,3.16
1994,Platform,5.73
1995,Platform,3.22
1996,Platform,6.83
1997,Platform,6.45
1998,Platform,8.19
1999,Platform,5.34
2000,Platform,4.64
2001,Platform,11.62
2002,Platform,12.3
2003,Platform,12.5
2004,Platform,12.05
2005,Platform,5.38
2006,Platform,11.97
2007,Platform,9.770000000
2008,Platform,10.78
2009,Platform,11.58
2010,Platform,8.55
2011,Platform,8.86
2012,Platform,5.88
2013,Platform,9.09
2014,Platform,3.63
2015,Platform,1.81
2016,Platform,0.87
2017,Platform,
2020,Platform,
1980,Misc,0.15
1981,Misc,
1982,Misc,0.05
1983,Misc,0
1984,Misc,0
1985,Misc,
1986,Misc,
1987,Misc,
1988,Misc,
1989,Misc,0
1990,Misc,
1991,Misc,0
1992,Misc,0.71
1993,Misc,0
1994,Misc,0.81
1995,Misc,1.56
1996,Misc,2.75
1997,Misc,1.22
1998,Misc,2.91
1999,Misc,3.73
2000,Misc,4.91
2001,Misc,4.25
2002,Misc,3.56
2003,Misc,7.46
2004,Misc,9.440000000
2005,Misc,20.32
2006,Misc,19.35
2007,Misc,20.97
2008,Misc,21.04
2009,Misc,20.64
2010,Misc,27.11
2011,Misc,14.08
2012,Misc,6.63
2013,Misc,7.5
2014,Misc,8.87
2015,Misc,3.71
2016,Misc,0.09
2017,Misc,
2020,Misc,
1980,Fighting,0.04
1981,Fighting,
1982,Fighting,
1983,Fighting,
1984,Fighting,
1985,Fighting,0
1986,Fighting,
1987,Fighting,0.65
1988,Fighting,
1989,Fighting,
1990,Fighting,
1991,Fighting,0
1992,Fighting,2.28
1993,Fighting,0.55
1994,Fighting,0.98
1995,Fighting,2.84
1996,Fighting,4.05
1997,Fighting,2.65
1998,Fighting,7.8
1999,Fighting,2.65
2000,Fighting,6.31
2001,Fighting,5
2002,Fighting,6.21
2003,Fighting,5.78
2004,Fighting,4.12
2005,Fighting,4.47
2006,Fighting,4.52
2007,Fighting,3.47
