Year,Genre,Zone Sales
2013,Action,45.21
2012,Action,42.78
2009,Sports,42.17
2011,Action,41.04
2014,Action,40.48
2006,Sports,40.2
2008,Action,39.49
2009,Action,39.2
2010,Action,35.75
2011,Shooter,35.31
2010,Sports,29.05
2010,Misc,27.11
2002,Action,27.01
2008,Sports,26.96
2007,Sports,26.54
2012,Shooter,26.34
2007,Action,25.86
2014,Shooter,25.81
2015,Action,24.65
2008,Racing,24.32
2015,Shooter,24.23
2010,Shooter,23.9
2013,Shooter,23.15
2007,Shooter,22.09
2005,Action,21.95
2009,Shooter,21.17
2008,Misc,21.04
2007,Misc,20.97
2003,Action,20.88
2009,Misc,20.64
2005,Misc,20.32
2011,Sports,19.86
2006,Misc,19.35
2001,Action,19.25
2002,Sports,19.24
2014,Sports,18.7
2001,Racing,17.89
2003,Racing,17.23
2004,Role-Playing,16.73
2015,Sports,16.69
2005,Simulation,16.45
2008,Shooter,16.29
2004,Action,16.03
2003,Sports,15.96
2005,Racing,15.85
2006,Action,15.29
2013,Sports,15.16
2002,Shooter,14.98
2004,Sports,14.86
2010,Racing,14.52
2001,Sports,14.14
2011,Role-Playing,14.1
2005,Sports,14.1
2011,Misc,14.08
2007,Simulation,14.03
2010,Role-Playing,13.7
2011,Racing,13.52
2007,Racing,13.17
2009,Racing,13.11
2004,Shooter,12.75
2015,Role-Playing,12.52
2003,Platform,12.5
2004,Racing,12.47
2002,Platform,12.3
2008,Simulation,12.12
2004,Platform,12.05
2012,Role-Playing,11.97
2006,Platform,11.97
2009,Simulation,11.64
2001,Platform,11.62
2009,Platform,11.58
2008,Role-Playing,11.3
2014,Role-Playing,11.24
2000,Action,10.84
2008,Platform,10.78
2007,Platform,9.77
2000,Sports,9.77
2004,Misc,9.44
2002,Role-Playing,9.39
2005,Shooter,9.21
2013,Platform,9.09
2013,Role-Playing,8.94
2006,Racing,8.9
2002,Racing,8.89
2014,Misc,8.87
2011,Platform,8.86
2012,Sports,8.83
2006,Shooter,8.81
2007,Puzzle,8.8
2010,Platform,8.55
2003,Shooter,8.54
2007,Role-Playing,8.37
2009,Role-Playing,8.36
2006,Role-Playing,8.12
2014,Racing,7.7
2009,Fighting,7.59
2012,Racing,7.58
2013,Misc,7.5
2001,Shooter,7.5
2003,Misc,7.46
2008,Fighting,7.17
2010,Simulation,6.98
2012,Misc,6.63
2000,Racing,6.5
2003,Simulation,6.47
2013,Racing,6.32
2000,Fighting,6.31
2006,Simulation,6.22
2002,Fighting,6.21
2005,Puzzle,6.07
2012,Platform,5.88
2003,Fighting,5.78
2003,Role-Playing,5.7
2011,Fighting,5.67
2009,Puzzle,5.64
2008,Adventure,5.62
2009,Adventure,5.56
2007,Adventure,5.56
2005,Platform,5.38
2010,Adventure,5.24
2011,Simulation,5.21
2008,Puzzle,5.13
2001,Fighting,5.0
2005,Role-Playing,4.96
2009,Strategy,4.93
2000,Misc,4.91
2015,Racing,4.74
2011,Adventure,4.69
2000,Platform,4.64
2006,Fighting,4.52
2010,Strategy,4.51
2005,Fighting,4.47
2001,Simulation,4.35
2001,Misc,4.25
2010,Fighting,4.22
2000,Role-Playing,4.2
2008,Strategy,4.18
2001,Role-Playing,4.14
2004,Fighting,4.12
2015,Misc,3.71
2001,Adventure,3.67
2014,Platform,3.63
2012,Simulation,3.62
2013,Simulation,3.56
2004,Simulation,3.56
2002,Misc,3.56
2002,Simulation,3.53
2007,Fighting,3.47
2014,Simulation,3.44
2015,Adventure,3.38
2010,Puzzle,3.2
2014,Fighting,3.07
2011,Strategy,2.91
2006,Adventure,2.64
2015,Simulation,2.51
2002,Adventure,2.51
2013,Strategy,2.47
2003,Strategy,2.44
2012,Fighting,2.43
2015,Fighting,2.38
2011,Puzzle,2.19
2000,Shooter,2.17
2006,Puzzle,2.14
2004,Adventure,2.13
2014,Adventure,2.11
2005,Adventure,2.05
2013,Adventure,1.97
2013,Fighting,1.95
2007,Strategy,1.87
2001,Puzzle,1.84
2015,Platform,1.81
2004,Strategy,1.7
2004,Puzzle,1.48
2002,Puzzle,1.41
2012,Adventure,1.31
2001,Strategy,1.24
2005,Strategy,1.13
2006,Strategy,1.08
2000,Strategy,1.02
2012,Strategy,0.99
2015,Strategy,0.98
2000,Puzzle,0.93
2000,Simulation,0.77
2002,Strategy,0.71
2000,Adventure,0.69
2003,Adventure,0.57
2013,Puzzle,0.48
2012,Puzzle,0.42
2014,Puzzle,0.38
2003,Puzzle,0.28
2014,Strategy,0.22
2015,Puzzle,0.11
